Buenos Aires y alrededores;11
Merlo, Provincia de Buenos Aires;220
La Plata, Provincia de Buenos Aires;221
Mar Del Plata, Provincia de Buenos Aires;223
Pilar, Provincia de Buenos Aires;230
Junín, Provincia de Buenos Aires;236
Moreno, Provincia de Buenos Aires;237
Tandil, Provincia de Buenos Aires;249
San Rafael, Provincia de Mendoza;260
Mendoza, Provincia de Mendoza;261
San Martín, Provincia de Mendoza;263
San Juan, Provincia de San Juan;264
San Luis, Provincia de San Luis;266
Trelew, Provincia de Chubut;280
Bahía Blanca, Provincia de Buenos Aires;291
San Carlos de Bariloche, Provincia de Rió Negro;294
Comodoro Rivadavia, Provincia de Chubut;297
General Roca, Provincia de Río Negro;298
Neuquén, Provincia de Neuquén;299
San Nicolás de los Arroyos, Provincia de Buenos Aires;336
Rosario, Provincia de Santa Fe;341
Santa Fe, Provincia de Santa Fe;342
Paraná, Provincia de Entre Ríos;343
Concordia, Provincia de Entre Ríos;345
Escobar, Provincia de Buenos Aires;348
Córdoba, Provincia de Córdoba;351
Villa María, Provincia de Córdoba;353
Río Cuarto, Provincia de Córdoba;358
Resistencia, Provincia de Chaco;362
Formosa, Provincia de Formosa;370
Presidencia Roque Sáenz Peña, Provincia de Chaco;374
Posadas, Provincia de Misiones;376
Corrientes, Provincia de Corrientes;379
La Rioja, Provincia de La Rioja;380
San Miguel de Tucumán, Provincia de Tucumán;381
San Fernando del Valle de Catamarca, Provincia de Catamarca;383
Santiago Del Estero, Provincia de Santiago Del Estero;385
Salta, Provincia de Salta;387
San Salvador de Jujuy, Provincia de Jujuy;388
Gonzalez Catan, Provincia de Buenos Aires;2202
Magdalena, Provincia de Buenos Aires;2221
Coronel Brandsen, Provincia de Buenos Aires;2223
Glew, Provincia de Buenos Aires;2224
Alejandro Korn, Provincia de Buenos Aires;2225
Cañuelas, Provincia de Buenos Aires;2226
Lobos, Provincia de Buenos Aires;2227
Juan María Gutierrez, Provincia de Buenos Aires;2229
Chascomus, Provincia de Buenos Aires;2241
Lezama, Provincia de Buenos Aires;2242
General Belgrano, Provincia de Buenos Aires;2243
Las Flores, Provincia de Buenos Aires;2244
Dolores, Provincia de Buenos Aires;2245
Santa Teresita, Provincia de Buenos Aires;2246
San Clemente Del Tuyú, Provincia de Buenos Aires;2252
Pinamar, Provincia de Buenos Aires;2254
Villa Gesell, Provincia de Buenos Aires;2255
Mar De Ajó, Provincia de Buenos Aires;2257
Lobería, Provincia de Buenos Aires;2261
Necochea, Provincia de Buenos Aires;2262
La Dulce, Provincia de Buenos Aires;2264
Coronel Vidal, Provincia de Buenos Aires;2265
Balcarce, Provincia de Buenos Aires;2266
General Madariaga, Provincia de Buenos Aires;2267
Maipú, Provincia de Buenos Aires;2268
Monte, Provincia de Buenos Aires;2271
Navarro, Provincia de Buenos Aires;2272
Carmen De Areco, Provincia de Buenos Aires;2273
Carlos Spegazzini, Provincia de Buenos Aires;2274
Azul, Provincia de Buenos Aires;2281
Tapalque, Provincia de Buenos Aires;2283
Olavarria, Provincia de Buenos Aires;2284
Laprida, Provincia de Buenos Aires;2285
General Lamadrid, Provincia de Buenos Aires;2286
Miramar, Provincia de Buenos Aires;2291
Benito Juárez, Provincia de Buenos Aires;2292
Ayacucho, Provincia de Buenos Aires;2296
Rauch, Provincia de Buenos Aires;2297
General Pico, Provincia de La Pampa;2302
Bolívar, Provincia de Buenos Aires;2314
Daireaux, Provincia de Buenos Aires;2316
9 de Julio, Provincia de Buenos Aires;2317
José C. Paz, Provincia de Buenos Aires;2320
Lujan, Provincia de Buenos Aires;2323
Mercedes, Provincia de Buenos Aires;2324
San Andrés De Giles, Provincia de Buenos Aires;2325
San Antonio De Areco, Provincia de Buenos Aires;2326
Realicó, Provincia de La Pampa;2331
Quemu Quemu, Provincia de La Pampa;2333
Eduardo Castex, Provincia de La Pampa;2334
Caleufú, Provincia de La Pampa;2335
Huinca Renancó, Provincia de Córdoba;2336
América, Provincia de Buenos Aires;2337
Victorica, Provincia de La Pampa;2338
Bragado, Provincia de Buenos Aires;2342
Norberto De La Riestra, Provincia de Buenos Aires;2343
Saladillo, Provincia de Buenos Aires;2344
25 de Mayo, Provincia de Buenos Aires;2345
Chivilcoy, Provincia de Buenos Aires;2346
Chacabuco, Provincia de Buenos Aires;2352
General Arenales, Provincia de Buenos Aires;2353
Vedia, Provincia de Buenos Aires;2354
Lincoln, Provincia de Buenos Aires;2355
General Pinto, Provincia de Buenos Aires;2356
Carlos Tejedor, Provincia de Buenos Aires;2357
Los Toldos, Provincia de Buenos Aires;2358
Trenque Lauquen, Provincia de Buenos Aires;2392
Salazar, Provincia de Buenos Aires;2393
Tres Lomas, Provincia de Buenos Aires;2394
Carlos Casares, Provincia de Buenos Aires;2395
Pehuajo, Provincia de Buenos Aires;2396
Colón, Provincia de Buenos Aires;2473
Salto, Provincia de Buenos Aires;2474
Rojas, Provincia de Buenos Aires;2475
Pergamino, Provincia de Buenos Aires;2477
Arrecifes, Provincia de Buenos Aires;2478
Tunuyan, Provincia de Mendoza;2622
Uspallata, Provincia de Mendoza;2624
General Alvear, Provincia de Mendoza;2625
La Paz, Provincia de Mendoza;2626
San Agustín Del Valle Fértil, Provincia de San Juan;2646
Jachal, Provincia de San Juan;2647
Calingasta, Provincia de San Juan;2648
San Francisco Del Monte De Oro, Provincia de San Luis;2651
La Toma, Provincia de San Luis;2655
Tilisarao, Provincia de San Luis;2656
Mercedes, Provincia de San Luis;2657
Buena Esperanza, Provincia de San Luis;2658
Ushuaia, Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur;2901
Río Turbio, Provincia de Santa Cruz;2902
Río Mayo, Provincia de Chubut;2903
Viedma, Provincia de Rió Negro;2920
Coronel Dorrego, Provincia de Buenos Aires;2921
Coronel Pringles, Provincia de Buenos Aires;2922
Pigüe, Provincia de Buenos Aires;2923
Darregueira, Provincia de Buenos Aires;2924
Villa Iris, Provincia de Buenos Aires;2925
Coronel Suarez, Provincia de Buenos Aires;2926
Medanos, Provincia de Buenos Aires;2927
Pedro Luro, Provincia de Buenos Aires;2928
Guamini, Provincia de Buenos Aires;2929
Río Colorado, Provincia de Río Negro;2931
Punta Alta, Provincia de Buenos Aires;2932
Huanguelen Sur, Provincia de Buenos Aires;2933
San Antonio Oeste, Provincia de Rió Negro;2934
Rivera, Provincia de Buenos Aires;2935
Carhue, Provincia de Buenos Aires;2936
Ingeniero Jacobacci, Provincia de Río Negro;2940
Zapala, Provincia de Neuquén;2942
Esquel, Provincia de Chubut;2945
Choele Choel, Provincia de Río Negro;2946
Chos Malal, Provincia de Neuquén;2948
General Acha, Provincia de La Pampa;2952
Macachin, Provincia de La Pampa;2953
Santa Rosa, Provincia de La Pampa;2954
San Julián, Provincia de Santa Cruz;2962
Perito Moreno, Provincia de Santa Cruz;2963
Río Grande, Provincia de Tierra Del Fuego;2964
Río Gallegos, Provincia de Santa Cruz;2966
San Martín De Los Andes, Provincia de Neuquén;2972
Orense, Provincia de Buenos Aires;2982
Tres Arroyos, Provincia de Buenos Aires;2983
Benavídez, Provincia de Buenos Aires;3327
San Pedro, Provincia de Buenos Aires;3329
Rufino, Provincia de Santa Fe;3382
Laboulaye, Provincia de Córdoba;3385
Bouchard, Provincia de Córdoba;3387
General Villegas, Provincia de Buenos Aires;3388
Villa Constitución, Provincia de Santa Fe;3400
El Trébol, Provincia de Santa Fe;3401
Arroyo Seco, Provincia de Santa Fe;3402
San Carlos Centro, Provincia de Santa Fe;3404
San Javier, Provincia de Santa Fe;3405
San Jorge, Provincia de Santa Fe;3406
Ramallo, Provincia de Buenos Aires;3407
San Cristóbal, Provincia de Santa Fe;3408
Moisés Ville, Provincia de Santa Fe;3409
